NCBI taxonomy ID,Domain,Phylum,Class,Order,Family,Genus,Species
150340,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio sp. Ex25
156578,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,undef,undef,Alteromonadales bacterium TW-7
156586,Bacteria,Bacteroidetes,Flavobacteriia,undef,undef,undef,Flavobacteria bacterium BBFL7
156889,Bacteria,Proteobacteria,Alphaproteobacteria,Magnetococcales,Magnetococcaceae,Magnetococcus,Magnetococcus marinus
161528,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Erythrobacter,Erythrobacter sp. SD-21
166314,Bacteria,Cyanobacteria,undef,Chroococcales,undef,Synechococcus,Synechococcus sp. WH 8109
166318,Bacteria,Cyanobacteria,undef,Chroococcales,undef,Synechococcus,Synechococcus sp. WH 8016
167539,Bacteria,Cyanobacteria,undef,Prochlorales,Prochlorococcaceae,Prochlorococcus,Prochlorococcus marinus
167542,Bacteria,Cyanobacteria,undef,Prochlorales,Prochlorococcaceae,Prochlorococcus,Prochlorococcus marinus
167546,Bacteria,Cyanobacteria,undef,Prochlorales,Prochlorococcaceae,Prochlorococcus,Prochlorococcus marinus
167555,Bacteria,Cyanobacteria,undef,Prochlorales,Prochlorococcaceae,Prochlorococcus,Prochlorococcus marinus
177437,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfobacterium,Desulfobacterium autotrophicum
177439,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfotalea,Desulfotalea psychrophila
180281,Bacteria,Cyanobacteria,undef,Chroococcales,undef,Cyanobium,Cyanobium sp. PCC 7001
190650,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,Caulobacter vibrioides
195250,Bacteria,Cyanobacteria,undef,Chroococcales,undef,Synechococcus,Synechococcus sp. PCC 7336
203124,Bacteria,Cyanobacteria,undef,Oscillatoriales,undef,Trichodesmium,Trichodesmium erythraeum
207949,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Bermanella,Bermanella marisrubri
207954,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Neptuniibacter,Neptuniibacter caesariensis
208596,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Carnobacterium,Carnobacterium sp. 17-4
216432,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Croceibacter,Croceibacter atlanticus
221109,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Oceanobacillus,Oceanobacillus iheyensis
221359,Bacteria,Cyanobacteria,undef,Chroococcales,undef,Synechococcus,Synechococcus sp. RS9916
221360,Bacteria,Cyanobacteria,undef,Chroococcales,undef,Synechococcus,Synechococcus sp. RS9917
224324,Bacteria,Aquificae,Aquificae,Aquificales,Aquificaceae,Aquifex,Aquifex aeolicus
225849,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella piezotolerans
225937,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Marinobacter,Marinobacter adhaerens
228405,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Hyphomonadaceae,Hyphomonas,Hyphomonas neptunium
232348,Bacteria,Cyanobacteria,undef,Chroococcales,undef,Synechococcus,Synechococcus sp. CB0101
232363,Bacteria,Cyanobacteria,undef,Chroococcales,undef,Synechococcus,Synechococcus sp. CB0205
234621,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardiaceae,Rhodococcus,Rhodococcus erythropolis
234831,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas sp. SM9913
235909,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus,Geobacillus kaustophilus
236097,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alcanivorax,Alcanivorax sp. DG881
237727,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Erythrobacter,Erythrobacter sp. NAP1
243090,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Rhodopirellula,Rhodopirellula baltica
243274,Bacteria,Thermotogae,Thermotogae,Thermotogales,Thermotogaceae,Thermotoga,Thermotoga maritima
244592,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Labrenzia,Labrenzia alexandrii
246969,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus sp. AM4
247633,Bacteria,Proteobacteria,Gammaproteobacteria,undef,undef,undef,marine gamma proteobacterium HTCC2143
247634,Bacteria,Proteobacteria,Gammaproteobacteria,undef,undef,undef,marine gamma proteobacterium HTCC2148
247639,Bacteria,Proteobacteria,Gammaproteobacteria,undef,undef,undef,marine gamma proteobacterium HTCC2080
252305,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Oceanicola,Oceanicola batsensis
263358,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Verrucosispora,Verrucosispora maris
269798,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Cytophaga,Cytophaga hutchinsonii
270374,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Marinobacter,Marinobacter sp. ELB17
283942,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Idiomarina,Idiomarina loihiensis
287752,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Aurantimonadaceae,Aurantimonas,Aurantimonas manganoxydans
288000,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium sp. BTAi1
290398,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Chromohalobacter,Chromohalobacter salexigens
290400,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Jannaschia,Jannaschia sp. CCS1
292414,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ruegeria,Ruegeria sp. TM1040
298386,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium,Photobacterium profundum
298701,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Desulfovibrio sp. A2
309800,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Haloferax,Haloferax volcanii
312153,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Polynucleobacter,Polynucleobacter necessarius
312284,Bacteria,Actinobacteria,Actinobacteria,undef,undef,undef,marine actinobacterium PHSC20C1
313589,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Intrasporangiaceae,Janibacter,Janibacter sp. HTCC2649
313590,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Dokdonia,Dokdonia donghaensis
313594,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Polaribacter,Polaribacter irgensii
313595,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Psychroflexus,Psychroflexus torquis
313596,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Robiginitalea,Robiginitalea biformata
313598,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Polaribacter,Polaribacter sp. MED152
313603,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Maribacter,Maribacter sp. HTCC2170
313606,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Microscilla,Microscilla marina
313612,Bacteria,Cyanobacteria,undef,Oscillatoriales,undef,Lyngbya,Lyngbya sp. PCC 8106
313624,Bacteria,Cyanobacteria,undef,Nostocales,Nostocaceae,Nodularia,Nodularia spumigena
313625,Bacteria,Cyanobacteria,undef,Chroococcales,undef,Synechococcus,Synechococcus sp. BL107
313627,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. NRRL B-14911
313628,Bacteria,Lentisphaerae,Lentisphaeria,Lentisphaerales,Lentisphaeraceae,Lentisphaera,Lentisphaera araneosa
314225,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Erythrobacter,Erythrobacter litoralis
314230,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Blastopirellula,Blastopirellula marina
314231,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Aurantimonadaceae,Fulvimarina,Fulvimarina pelagi
314232,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Loktanella,Loktanella vestfoldensis
314253,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Nitrobacter,Nitrobacter sp. Nb-311A
314254,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Hyphomonadaceae,Oceanicaulis,Oceanicaulis sp. HTCC2633
314256,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Oceanicola,Oceanicola granulosus
314260,Bacteria,Proteobacteria,Alphaproteobacteria,Parvularculales,Parvularculaceae,Parvularcula,Parvularcula bermudensis
314261,Bacteria,Proteobacteria,Alphaproteobacteria,undef,undef,Candidatus Pelagibacter,Candidatus Pelagibacter ubique
314262,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseobacter,Roseobacter sp. MED193
314264,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseovarius,Roseovarius sp. 217
314265,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Pelagibaca,Pelagibaca bermudensis
314266,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas sp. SKA58
314267,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Sulfitobacter,Sulfitobacter sp. NAS-14.1
314270,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,undef,Rhodobacteraceae bacterium HTCC2083
314271,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Maritimibacter,Maritimibacter alkaliphilus
314275,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,Alteromonas macleodii
314276,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Idiomarina,Idiomarina baltica
314277,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Marinomonas,Marinomonas sp. MED121
314278,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Nitrococcus,Nitrococcus mobilis
314280,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium,Photobacterium profundum
314282,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Psychromonadaceae,Psychromonas,Psychromonas sp. CNPT3
314283,Bacteria,Proteobacteria,Gammaproteobacteria,undef,undef,Reinekea,Reinekea blandensis
314285,Bacteria,Proteobacteria,Gammaproteobacteria,undef,undef,Congregibacter,Congregibacter litoralis
314287,Bacteria,Proteobacteria,Gammaproteobacteria,undef,undef,undef,gamma proteobacterium HTCC2207
314291,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio splendidus
314292,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium,Photobacterium angustum
314345,Bacteria,Proteobacteria,Zetaproteobacteria,Mariprofundales,Mariprofundaceae,Mariprofundus,Mariprofundus ferrooxydans
314607,Bacteria,Proteobacteria,Betaproteobacteria,undef,undef,undef,beta proteobacterium KB13
314608,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella benthica
316278,Bacteria,Cyanobacteria,undef,Chroococcales,undef,Synechococcus,Synechococcus sp. RCC307
316279,Bacteria,Cyanobacteria,undef,Chroococcales,undef,Synechococcus,Synechococcus sp. CC9902
317025,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Thiomicrospira,Thiomicrospira crunogena
317655,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis,Sphingopyxis alaskensis
318161,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella denitrificans
318167,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella frigidimarina
323261,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Nitrosococcus,Nitrosococcus oceani
323850,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella loihica
324925,Bacteria,Chlorobi,Chlorobia,Chlorobiales,Chlorobiaceae,Pelodictyon,Pelodictyon phaeoclathratiforme
325240,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella baltica
326298,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Sulfurimonas,Sulfurimonas denitrificans
326442,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas haloplanktis
327275,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella sp. HN-41
329726,Bacteria,Cyanobacteria,undef,Chroococcales,undef,Acaryochloris,Acaryochloris marina
331678,Bacteria,Chlorobi,Chlorobia,Chlorobiales,Chlorobiaceae,Chlorobium,Chlorobium phaeobacteroides
331869,Bacteria,Proteobacteria,Alphaproteobacteria,undef,undef,undef,alpha proteobacterium BAL199
333990,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Carnobacterium,Carnobacterium sp. AT7
335992,Bacteria,Proteobacteria,Alphaproteobacteria,undef,undef,Candidatus Pelagibacter,Candidatus Pelagibacter ubique
338187,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio campbellii
338963,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Pelobacteraceae,Pelobacter,Pelobacter carbinolicus
338966,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Pelobacteraceae,Pelobacter,Pelobacter propionicus
344747,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Planctomyces,Planctomyces maris
345074,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio cholerae
349106,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter sp. PRwf-1
351016,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseobacter,Roseobacter sp. AzwK-3b
351348,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Marinobacter,Marinobacter hydrocarbonoclasticus
351745,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella sp. W3-18-1
357804,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Psychromonadaceae,Psychromonas,Psychromonas ingrahamii
357808,Bacteria,Chloroflexi,Chloroflexi,Chloroflexales,Chloroflexaceae,Roseiflexus,Roseiflexus sp. RS-1
367336,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,undef,undef,Rhodobacterales bacterium HTCC2255
367737,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Arcobacter,Arcobacter butzleri
369723,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Salinispora,Salinispora tropica
373994,Bacteria,Cyanobacteria,undef,Nostocales,Rivulariaceae,Rivularia,Rivularia sp. PCC 7116
378753,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Kocuria,Kocuria rhizophila
382464,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,undef,undef,Verrucomicrobiae bacterium DG1235
383372,Bacteria,Chloroflexi,Chloroflexi,Chloroflexales,Chloroflexaceae,Roseiflexus,Roseiflexus castenholzii
383629,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Phaeobacter,Phaeobacter gallaeciensis
383631,Bacteria,Proteobacteria,Betaproteobacteria,Methylophilales,undef,undef,Methylophilales bacterium HTCC2181
384765,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Labrenzia,Labrenzia aggregata
387092,Bacteria,Proteobacteria,Epsilonproteobacteria,undef,undef,Nitratiruptor,Nitratiruptor sp. SB155-2
387093,Bacteria,Proteobacteria,Epsilonproteobacteria,undef,undef,Sulfurovum,Sulfurovum sp. NBC37-1
388396,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Aliivibrio,Aliivibrio fischeri
388399,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Sagittula,Sagittula stellata
388400,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. B14905
388401,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,undef,Rhodobacteraceae bacterium HTCC2150
388413,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cyclobacteriaceae,Algoriphagus,Algoriphagus machipongonensis
388739,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseobacter,Roseobacter sp. SK209-2-6
391009,Bacteria,Thermotogae,Thermotogae,Thermotogales,Thermotogaceae,Thermosipho,Thermosipho melanesiensis
391037,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Salinispora,Salinispora arenicola
391574,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,undef,undef,Vibrionales bacterium SWAT-3
391587,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Kordia,Kordia algicida
391589,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseobacter,Roseobacter sp. GAI101
391591,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio shilonii
391592,Bacteria,Proteobacteria,Epsilonproteobacteria,Nautiliales,Nautiliaceae,Caminibacter,Caminibacter mediatlanticus
391593,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseobacter,Roseobacter sp. CCS2
391595,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseobacter,Roseobacter litoralis
391596,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,Pedobacter sp. BAL39
391597,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Limnobacter,Limnobacter sp. MED105
391598,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,undef,undef,Flavobacteria bacterium BAL38
391600,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Brevundimonas sp. BAL3
391601,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Stenotrophomonas sp. SKA14
391603,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,undef,undef,Flavobacteriales bacterium ALC-1
391612,Bacteria,Cyanobacteria,undef,Chroococcales,undef,Cyanothece,Cyanothece sp. CCY0110
391613,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseovarius,Roseovarius sp. TM1035
391615,Bacteria,Proteobacteria,Gammaproteobacteria,undef,undef,undef,gamma proteobacterium HTCC5015
391616,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Octadecabacter,Octadecabacter arcticus
391619,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Phaeobacter,Phaeobacter inhibens
391623,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus barophilus
391624,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Oceanibulbus,Oceanibulbus indolifex
391625,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Nannocystaceae,Plesiocystis,Plesiocystis pacifica
391626,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Octadecabacter,Octadecabacter antarcticus
392500,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella woodyi
393595,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alcanivorax,Alcanivorax borkumensis
394221,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Hyphomonadaceae,Maricaulis,Maricaulis maris
398720,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Leeuwenhoekiella,Leeuwenhoekiella blandensis
399599,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella baltica
399795,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Comamonas,Comamonas testosteroni
400668,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Marinomonas,Marinomonas sp. MWYL1
402882,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella baltica
403833,Bacteria,Thermotogae,Thermotogae,Thermotogales,Thermotogaceae,Petrotoga,Petrotoga mobilis
407976,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella baltica
411154,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Gramella,Gramella forsetii
411684,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Hoeflea,Hoeflea phototrophica
413404,Bacteria,Proteobacteria,Gammaproteobacteria,undef,undef,undef,Candidatus Ruthia magnifica
425104,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella sediminis
436308,Archaea,Thaumarchaeota,undef,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilus,Nitrosopumilus maritimus
439481,Archaea,Euryarchaeota,undef,undef,undef,Aciduliprofundum,Aciduliprofundum boonei
439483,Proteobacteria,delta/epsilon subdivisions,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Sulfurimonas,Sulfurimonas gotlandica
439493,Bacteria,Proteobacteria,Alphaproteobacteria,undef,undef,Candidatus Pelagibacter,Candidatus Pelagibacter sp. HTCC7211
439495,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Pseudovibrio,Pseudovibrio sp. JE062
